Emp ID,Name,Gender,Department,Salary,Start Date,FTE,Employee type,Work location
PR00147,Minerva Ricardot,Male,NULL,"$105,468.70",12-Nov-18,1,Permanent,Remote
PR04686,Oona Donan,Female,Business Development,"$88,360.79",9/2/2019,1,Permanent,"Seattle, USA"
SQ04612,Mick Spraberry,Female,Services,"$85,879.23",3/12/2020,1,Permanent,Remote
VT01803,Freddy Linford,Female,Training,"$93,128.34","Mar 5, 2018",1,Fixed Term,"Seattle, USA"
TN02749,Mackenzie Hannis,Female,Training,"$57,002.02",2-Apr-18,0.7,Permanent,"Hyderabad, India"
SQ00144,Collen Dunbleton,Male,Engineering,"$118,976.16","Oct 16, 2020",1,Permanent,"Wellington, New Zealand"
PR04601,Nananne Gehringer,,Support,"$104,802.63",11/2/2021,1,Permanent,"Hyderabad, India"
SQ01854,Jessica Callcott,Female,Marketing,"$66,017.18",6/27/2019,0.9,Permanent,Remote
SQ00612,Leena Bruckshaw,Male,Research and Development,"$74,279.01",1/1/2019,1,Permanent,"Wellington, New Zealand"
PR00419,Billi Fellgate,Female,Business Development,"$68,980.52",1/29/2019,0.8,Permanent,Remote
VT00578,Magnum Locksley,Female,Services,"$42,314.39","Oct 18, 2021",1,Fixed Term,Remote
TN01281,Cletus McGarahan,Female,Engineering,"$114,425.19",27-Jan-20,1,Permanent,"Wellington, New Zealand"
PR04473,Wyn Treadger,Female,Business Development,"$69,192.85",19-Apr-21,1,Permanent,"Columbus, USA"
VT02417,Evangelina Lergan,Male,Support,"$61,214.26",12-Mar-18,1,Temporary,"Auckland, New Zealand"
SQ00691,Verla Timmis,Male,Support,"$54,137.05",25-Oct-19,1,Permanent,Remote
TN00214,Jo-anne Gobeau,Female,Training,"$37,902.35","Dec 24, 2019",1,Permanent,"Chennai, India"
VT02539,Devinne Tuny,Male,Engineering,"$39,969.72",10-Dec-18,1,Temporary,"Columbus, USA"
SQ04598,Pearla  Beteriss,Male,Services,"$69,913.39",4/29/2019,1,Permanent,Remote
TN00464,Maritsa Marusic,Male,Research and Development,"$52,748.63",27-Jan-20,1,Permanent,"Chennai, India"
PR00893,Daisie McNeice,Male,Human Resources,"$50,310.09",3/30/2021,0.4,Permanent,"Hyderabad, India"
PR00882,Jill Shipsey,Male,Accounting,"$52,963.65",4/2/2021,0.3,Permanent,"Columbus, USA"
PR03445,Myrle Prandoni,Male,Sales,"$62,195.47",26-Aug-21,1,Permanent,Remote
TN03416,Seward Kubera,Male,Engineering,"$43,329.22",12/10/2019,0.5,Fixed Term,Remote
TN00890,Dean Biggam,Female,Training,"$71,570.99",22-Feb-21,0.5,Permanent,"Hyderabad, India"
VT04137,Marissa Infante,,Training,"$78,840.23",6/17/2019,1,Temporary,Remote
PR02603,Daisie Dahlman,Female,Human Resources,"$61,994.76",11/25/2019,0.3,Permanent,"Hyderabad, India"
PR03158,Danica Nayshe,Female,Services,"$89,690.38",4/16/2018,1,Permanent,"Wellington, New Zealand"
PR02288,Althea  Bronger,Male,Product Management,"$104,335.04",2/13/2020,1,Permanent,"Columbus, USA"
VT03849,Leonidas Cavaney,Male,Accounting,"$52,246.29",18-Apr-19,1,Temporary,"Wellington, New Zealand"
SQ01395,Dennison Crosswaite,Male,Legal,"$90,697.67",1/25/2021,0.8,Permanent,"Seattle, USA"
SQ02559,Aldrich  Glenny,Male,Business Development,"$90,884.32",27-Dec-19,1,Permanent,"Columbus, USA"
